City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Long,Wind Speed
barrow,90,US,1607707803,69,-7.6,71.29,-156.79,16.11
rikitea,75,PF,1607708532,79,76.69,-23.12,-134.97,13.69
kaitangata,46,NZ,1607707955,73,46.99,-46.28,169.85,10.0
punta arenas,75,CL,1607708533,62,55.4,-53.15,-70.92,14.99
nacala,100,MZ,1607708533,84,79.43,-14.54,40.67,8.28
saint-philippe,20,RE,1607708533,73,75.2,-21.36,55.77,14.99
hermanus,78,ZA,1607708533,74,64.99,-34.42,19.23,1.99
puerto escondido,8,MX,1607708534,64,83.12,15.85,-97.07,5.68
sur,0,OM,1607708534,51,72.3,22.57,59.53,12.17
butaritari,100,KI,1607708534,79,81.1,3.07,172.79,14.0
lorengau,57,PG,1607708534,73,82.89,-2.02,147.27,7.2
yar-sale,100,RU,1607708535,94,17.6,66.83,70.83,11.77
cherskiy,100,RU,1607708535,89,-10.91,68.75,161.3,5.28
ust-ishim,0,RU,1607708536,95,9.23,57.69,71.17,5.53
juan lacaze,75,UY,1607708536,53,71.6,-34.43,-57.44,11.41
mataura,98,NZ,1607708536,81,46.99,-46.19,168.86,18.01
xuanzhou,30,CN,1607708536,85,44.35,30.95,118.76,2.53
ushuaia,40,AR,1607708536,39,62.6,-54.8,-68.3,14.99
cape town,40,ZA,1607707932,82,69.01,-33.93,18.42,2.24
guerrero negro,2,MX,1607707960,58,65.53,27.98,-114.06,10.6
busselton,56,AU,1607708537,90,64.99,-33.65,115.33,6.98
bethel,1,US,1607708537,57,50.0,41.37,-73.41,12.75
vila,100,PT,1607708384,94,52.0,42.03,-8.16,14.0
maubin,0,MM,1607708538,88,73.4,16.73,95.65,3.36
bredasdorp,97,ZA,1607707953,72,64.4,-34.53,20.04,11.41
shar,100,KZ,1607708538,92,-2.94,49.59,81.05,2.37
teknaf,1,BD,1607708492,78,66.34,20.86,92.31,6.53
carnarvon,90,AU,1607708283,94,73.4,-24.87,113.63,17.22
richards bay,36,ZA,1607708539,89,75.69,-28.78,32.04,2.77
lompoc,1,US,1607708081,87,48.2,34.64,-120.46,8.25
east london,40,ZA,1607708539,94,69.8,-33.02,27.91,1.12
dunedin,47,NZ,1607708538,70,48.0,-45.87,170.5,3.0
grand gaube,25,MU,1607708540,66,77.0,-20.01,57.66,10.0
hithadhoo,51,MV,1607708336,76,82.08,-0.6,73.08,12.93
port pirie,100,AU,1607708540,67,62.6,-33.18,138.02,3.36
kruisfontein,100,ZA,1607708379,80,66.99,-34.0,24.73,5.99
ilulissat,20,GL,1607708541,40,14.0,69.22,-51.1,14.99
tuktoyaktuk,20,CA,1607708189,74,-22.0,69.45,-133.04,8.05
hasaki,75,JP,1607708350,93,46.4,35.73,140.83,5.82
viedma,0,AR,1607708542,19,75.99,-40.81,-63.0,8.99
bousse,0,BF,1607708542,16,95.0,12.66,-1.89,6.93
arraial do cabo,40,BR,1607708193,74,84.2,-22.97,-42.03,14.99
malia,75,GR,1607708543,82,61.0,35.28,25.47,9.17
kawalu,100,ID,1607708543,89,74.44,-7.38,108.21,0.72
tommot,69,RU,1607708544,80,-33.81,58.96,126.29,0.49
saint george,1,US,1607708327,47,37.4,37.1,-113.58,3.15
vaini,40,TO,1607707961,88,77.0,-21.2,-175.2,10.29
namatanai,85,PG,1607708514,78,80.53,-3.67,152.43,5.1
norman wells,90,CA,1607707964,77,-0.4,65.28,-126.83,5.82
puerto ayora,75,EC,1607708545,69,80.6,-0.74,-90.35,18.34
hirara,95,JP,1607708545,84,71.98,24.8,125.28,24.54
jamestown,1,US,1607708144,65,46.4,42.1,-79.24,10.29
samarai,83,PG,1607708546,74,80.76,-10.62,150.67,5.1
moranbah,0,AU,1607708546,75,69.17,-22.0,148.05,16.58
flinders,84,AU,1607708547,64,63.0,-34.58,150.86,5.99
mountain home,90,US,1607708547,86,28.4,43.13,-115.69,3.36
qaanaaq,100,GL,1607708006,87,22.44,77.48,-69.36,7.36
chuy,67,UY,1607708003,36,90.03,-33.7,-53.46,11.48
geraldton,0,AU,1607708426,94,69.8,-28.77,114.6,6.93
aklavik,40,CA,1607708548,75,-20.2,68.22,-135.01,6.93
fortuna,100,US,1607708142,84,44.01,40.6,-124.16,8.99
urusha,17,RU,1607708549,84,-17.75,54.05,122.9,3.29
port alfred,100,ZA,1607708549,89,68.23,-33.59,26.89,12.5
san-pedro,57,CI,1607708549,82,79.99,4.75,-6.64,5.48
dwarka,0,IN,1607708550,62,74.91,22.24,68.97,11.61
alta floresta,75,BR,1607708381,74,84.2,-9.88,-56.09,4.7
saldanha,96,ZA,1607708436,78,63.34,-33.01,17.94,8.16
askiz,100,RU,1607708550,88,7.68,53.13,90.53,11.99
albany,90,US,1607708551,59,46.99,42.6,-73.97,4.68
tasiilaq,75,GL,1607708552,58,28.4,65.61,-37.64,4.7
castro,89,BR,1607708255,48,80.65,-24.79,-50.01,4.52
new norfolk,90,AU,1607708279,87,51.8,-42.78,147.06,2.24
saint-pierre,0,RE,1607707982,73,75.2,-21.34,55.48,21.92
airai,45,TL,1607708553,100,62.02,-8.93,125.41,0.92
sao felix do xingu,81,BR,1607708553,49,89.17,-6.64,-51.99,4.65
nome,1,US,1607708475,64,1.4,64.5,-165.41,4.7
hilo,1,US,1607708555,60,69.8,19.73,-155.09,9.17
victor harbor,100,AU,1607708555,70,69.01,-35.57,138.62,9.86
key largo,72,US,1607708555,61,72.0,25.09,-80.45,5.99
alofi,20,NU,1607708451,94,77.0,-19.06,-169.92,13.87
bluff,95,NZ,1607708556,81,46.99,-46.6,168.33,18.01
archidona,20,ES,1607708556,63,68.0,37.1,-4.39,6.93
alice springs,90,AU,1607708557,57,78.01,-23.7,133.88,5.82
vikulovo,0,RU,1607708557,94,9.84,56.82,70.61,7.54
itarema,88,BR,1607708468,61,86.27,-2.92,-39.92,20.2
olinda,40,BR,1607708541,58,82.4,-8.01,-34.86,11.41
atuona,13,PF,1607708559,76,78.69,-9.8,-139.03,20.6
port elizabeth,20,ZA,1607708560,93,66.2,-33.92,25.57,16.11
chokurdakh,100,RU,1607708241,86,-27.9,70.63,147.92,7.11
provideniya,100,RU,1607708428,94,13.39,64.38,-173.3,31.03
khatanga,15,RU,1607708561,84,-30.91,71.97,102.5,5.21
ternate,74,ID,1607708438,78,81.88,0.8,127.4,4.65
