,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Long,Wind Speed
0,sayan,49,PE,1603995943,42,78.28,-11.14,-77.19,10.6
1,tuktoyaktuk,93,CA,1603995944,93,5.63,69.45,-133.04,5.1
2,butaritari,35,KI,1603995944,74,81.61,3.07,172.79,10.4
3,atuona,36,PF,1603995944,67,78.12,-9.8,-139.03,17.92
4,cape town,20,ZA,1603995944,50,57.0,-33.93,18.42,6.93
5,faya,0,SA,1603995330,36,66.2,18.39,42.45,6.89
6,longyearbyen,75,SJ,1603995487,57,21.2,78.22,15.64,18.34
7,hilo,90,US,1603995507,73,73.99,19.73,-155.09,4.7
8,ribeira grande,75,PT,1603995945,94,68.0,38.52,-28.7,10.29
9,lonevag,43,NO,1603995945,88,48.0,60.53,5.49,3.0
10,chanika,13,TZ,1603995946,87,69.24,-5.42,38.02,6.55
11,rikitea,100,PF,1603995946,73,74.64,-23.12,-134.97,10.69
12,mataura,95,NZ,1603995946,92,52.0,-46.19,168.86,1.99
13,souillac,49,MU,1603995946,64,71.01,-20.52,57.52,7.0
14,new norfolk,90,AU,1603995947,81,53.6,-42.78,147.06,1.88
15,vaini,20,TO,1603995947,77,69.8,-21.2,-175.2,10.29
16,saint george,1,US,1603995887,19,66.0,37.1,-113.58,3.36
17,hobart,90,AU,1603995884,81,53.6,-42.88,147.33,2.42
18,vardo,75,NO,1603995948,78,33.8,70.37,31.11,19.46
19,salta,90,AR,1603995948,76,55.4,-24.79,-65.41,4.7
20,geraldton,100,AU,1603995948,60,75.2,-28.77,114.6,10.29
21,suoyarvi,91,RU,1603995948,93,45.34,62.08,32.35,6.8
22,qaanaaq,0,GL,1603995948,73,5.29,77.48,-69.36,5.66
23,nara,97,JP,1603995949,57,55.99,34.69,135.8,5.28
24,iqaluit,57,CA,1603995949,91,8.22,63.75,-68.51,7.4
25,chuy,43,UY,1603995949,61,61.66,-33.7,-53.46,15.37
26,yellowknife,5,CA,1603995671,85,17.01,62.46,-114.35,5.99
27,esperance,0,AU,1603995950,93,48.2,-33.87,121.9,8.05
28,agapovka,96,RU,1603995950,47,37.4,53.3,59.13,7.63
29,albany,100,US,1603995950,89,46.99,42.6,-73.97,2.01
30,punta arenas,40,CL,1603995744,46,53.6,-53.15,-70.92,40.26
31,kodiak,1,US,1603995785,74,28.4,57.79,-152.41,4.7
32,kautokeino,78,NO,1603995952,94,21.97,69.01,23.04,4.65
33,saint-philippe,40,RE,1603995952,64,71.6,-21.36,55.77,19.46
34,kapaa,1,US,1603995952,83,69.8,22.08,-159.32,6.93
35,boguchany,99,RU,1603995953,94,23.54,58.38,97.45,10.67
36,port alfred,100,ZA,1603995953,80,63.21,-33.59,26.89,20.83
37,nantucket,90,US,1603995944,87,50.0,41.28,-70.1,5.82
38,cockburn town,40,TC,1603995953,70,84.2,21.46,-71.14,12.75
39,general pico,1,AR,1603995953,25,67.44,-35.66,-63.76,9.66
40,ushuaia,40,AR,1603995662,81,46.4,-54.8,-68.3,24.16
41,saldanha,11,ZA,1603995954,58,55.4,-33.01,17.94,6.93
42,novotroitskaya,0,RU,1603995954,93,53.01,45.33,41.53,11.18
43,torbay,72,CA,1603995658,83,41.0,47.67,-52.73,9.08
44,danielskuil,100,ZA,1603995955,42,68.77,-28.19,23.54,15.03
45,fruitvale,1,US,1603995955,52,51.01,39.08,-108.5,4.7
46,avarua,100,CK,1603995955,83,73.4,-21.21,-159.78,6.93
47,gazojak,0,TM,1603995955,58,42.57,41.19,61.4,12.97
48,lebu,0,CL,1603995955,68,54.34,-37.62,-73.65,21.72
49,jalgaon,0,IN,1603995956,42,75.61,21.02,75.57,4.83
50,ginda,0,IN,1603995956,44,50.13,30.69,78.49,5.84
51,isangel,5,VU,1603995956,81,74.14,-19.55,169.27,13.24
52,castro,99,BR,1603995730,44,78.3,-24.79,-50.01,10.36
53,mawlaik,75,MM,1603995957,80,75.24,23.63,94.42,0.65
54,provideniya,0,RU,1603995957,86,22.3,64.38,-173.3,6.98
55,puerto ayora,40,EC,1603995958,69,78.8,-0.74,-90.35,6.93
56,acapulco,40,MX,1603995958,70,86.0,16.86,-99.89,4.7
57,jinchang,2,CN,1603995958,60,43.36,38.5,102.17,5.66
58,bluff,98,NZ,1603995959,92,52.0,-46.6,168.33,1.99
59,coihaique,0,CL,1603995959,44,59.0,-45.58,-72.07,5.82
60,kamina,97,CD,1603995959,92,67.26,-8.74,24.99,3.27
61,yekaterinogradskaya,0,RU,1603995960,93,50.0,43.76,44.23,2.24
62,kruisfontein,100,ZA,1603995960,90,57.0,-34.0,24.73,3.0
63,georgetown,20,MY,1603995961,88,80.6,5.41,100.34,3.36
64,busselton,0,AU,1603995962,42,60.01,-33.65,115.33,12.55
65,unity,85,CA,1603995962,75,38.86,52.45,-109.17,7.54
66,baijiantan,36,CN,1603995963,61,41.95,45.63,85.18,19.64
67,oakdale,90,US,1603995963,55,36.0,44.96,-92.96,9.17
68,vestmannaeyjar,40,IS,1603995964,87,44.6,63.44,-20.27,14.99
69,makakilo city,75,US,1603995965,88,75.2,21.35,-158.09,3.36
70,ketchikan,90,US,1603995965,100,41.0,55.34,-131.65,3.15
71,zhoucheng,53,CN,1603995966,58,52.61,35.91,116.31,2.62
72,tuatapere,83,NZ,1603995967,92,52.0,-46.13,167.68,1.99
73,jamestown,90,US,1603995962,87,45.0,42.1,-79.24,5.82
74,komsomolskiy,1,UZ,1603995967,41,42.8,40.43,71.72,6.93
75,roma,90,US,1603995722,87,46.4,43.21,-75.46,4.7
76,aykhal,47,RU,1603995968,89,-8.46,66.0,111.5,2.48
77,naze,75,JP,1603995968,60,75.2,28.37,129.48,6.93
78,lagoa,100,PT,1603995969,87,68.65,39.05,-27.98,23.94
79,palm beach,59,US,1603995969,74,91.0,26.65,-80.45,5.01
80,stutterheim,75,ZA,1603995969,82,64.4,-32.57,27.42,17.22
81,cabo san lucas,5,MX,1603995970,50,84.0,22.89,-109.91,6.93
82,carutapera,38,BR,1603995970,61,87.35,-1.2,-46.02,11.34
83,bom jesus,33,BR,1603995971,41,93.96,-9.07,-44.36,8.39
84,port elizabeth,75,ZA,1603995971,82,59.0,-33.92,25.57,21.92
85,bambous virieux,55,MU,1603995972,64,71.01,-20.34,57.76,7.0
86,demba,46,CD,1603995972,97,70.57,-5.51,22.27,1.99
87,boca do acre,98,BR,1603995972,56,88.18,-8.75,-67.4,4.79
88,katsuura,75,JP,1603995972,47,60.01,35.13,140.3,17.22
89,severo-kurilsk,63,RU,1603995973,79,41.5,50.68,156.12,5.68
90,benguela,52,AO,1603995973,77,77.45,-12.58,13.41,9.93
91,sainte-savine,90,FR,1603995973,87,55.4,48.3,4.05,10.29
92,tual,67,ID,1603995966,70,82.8,-5.67,132.75,7.61
93,nizhniy tsasuchey,100,RU,1603995974,84,32.76,50.52,115.13,4.23
94,uige,100,AO,1603995974,93,69.82,-7.61,15.06,1.83
95,portland,90,US,1603995861,87,54.0,45.52,-122.68,5.82
96,zhigansk,91,RU,1603995975,90,-10.93,66.77,123.37,3.04
97,bubaque,94,GW,1603995975,73,84.38,11.28,-15.83,11.72
98,xining,0,CN,1603995976,61,40.23,36.62,101.77,1.92
99,narsaq,75,GL,1603995976,69,33.8,60.92,-46.05,2.66
100,godo,79,JP,1603995976,81,37.0,35.42,136.6,10.0
101,kavieng,83,PG,1603995976,73,82.18,-2.57,150.8,3.8
102,port hardy,100,CA,1603995977,89,54.05,50.7,-127.42,7.29
103,kirillov,40,RU,1603995977,87,46.4,59.86,38.38,6.71
104,horodnytsya,100,UA,1603995977,86,51.8,50.81,27.32,4.47
105,mar del plata,40,AR,1603995977,54,57.2,-38.0,-57.56,16.11
106,carnarvon,75,AU,1603995968,100,69.8,-24.87,113.63,6.93
107,ust-tsilma,99,RU,1603995978,92,38.98,65.44,52.15,7.43
108,norman wells,20,CA,1603995972,91,11.37,65.28,-126.83,3.38
109,hermanus,64,ZA,1603995960,71,53.01,-34.42,19.23,13.67
110,beaufort,20,MY,1603995979,83,82.4,5.35,115.75,8.05
111,constitucion,0,CL,1603995979,50,62.47,-35.33,-72.42,14.05
112,camopi,97,GF,1603995979,36,97.03,3.17,-52.32,4.12
113,samarai,81,PG,1603995979,80,79.38,-10.62,150.67,6.02
114,independence,90,US,1603995822,75,44.01,39.09,-94.42,19.46
115,thompson,79,CA,1603995981,96,23.18,55.74,-97.86,9.89
116,sao filipe,0,CV,1603995981,67,82.2,14.9,-24.5,3.71
117,manggar,76,ID,1603995963,80,81.1,-2.88,108.27,4.5
118,ancud,0,CL,1603995982,54,55.4,-41.87,-73.82,12.75
119,arraial do cabo,90,BR,1603995982,94,82.4,-22.97,-42.03,8.05
120,airai,32,TL,1603995982,100,60.8,-8.93,125.41,1.19
121,tiarei,20,PF,1603995983,78,80.6,-17.53,-149.33,9.17
122,tasiilaq,75,GL,1603995983,64,33.8,65.61,-37.64,10.29
123,ormara,0,PK,1603995983,56,76.37,25.21,64.64,4.14
124,saskylakh,2,RU,1603995963,84,-0.22,71.92,114.08,4.36
125,barrow,90,US,1603995901,85,12.2,71.29,-156.79,11.41
126,babenhausen,100,DE,1603995984,94,53.01,49.97,8.96,1.01
127,winchester,75,GB,1603995894,87,59.0,51.07,-1.32,13.87
128,puerto rondon,51,CO,1603995984,60,90.45,6.28,-71.1,6.64
129,sorland,75,NO,1603995965,56,41.0,67.67,12.69,18.34
130,taltal,27,CL,1603995985,57,63.9,-25.4,-70.48,7.02
131,arroyo,0,ES,1603995985,81,57.0,41.61,-4.8,4.7
132,touros,75,BR,1603995986,62,84.2,-5.2,-35.46,18.34
133,catia la mar,89,VE,1603995987,66,73.0,10.6,-67.03,8.05
134,lazaro cardenas,15,MX,1603995988,68,85.33,17.96,-102.2,4.16
135,linhares,97,BR,1603995988,73,84.18,-19.39,-40.07,9.95
136,zaysan,97,KZ,1603995988,92,29.86,47.47,84.87,5.84
137,emerald,0,AU,1603995989,72,59.0,-23.53,148.17,2.95
138,charters towers,0,AU,1603995984,53,67.03,-20.1,146.27,4.5
139,talara,0,PE,1603995989,61,77.0,-4.58,-81.27,19.46
140,kyaukse,99,MM,1603995990,86,76.48,21.6,96.13,2.98
141,bairiki,40,KI,1603995990,83,78.8,1.33,172.98,6.93
142,evensk,3,RU,1603995990,83,20.3,61.95,159.23,4.25
143,sao joao da barra,0,BR,1603995991,62,87.8,-21.64,-41.05,16.11
144,honningsvag,75,NO,1603995991,69,37.4,70.98,25.97,6.93
145,uglegorsk,96,RU,1603995991,76,38.68,49.08,142.03,6.89
146,yelizovo,97,RU,1603995992,100,35.6,53.19,158.38,2.24
147,hasaki,75,JP,1603995992,62,55.4,35.73,140.83,8.05
148,ilulissat,75,GL,1603995981,73,19.4,69.22,-51.1,5.82
149,road town,40,VG,1603995883,70,86.0,18.42,-64.62,11.41
150,port moresby,40,PG,1603995809,94,75.2,-9.44,147.18,5.82
151,edson,88,CA,1603995935,85,34.5,53.58,-116.44,5.97
152,victoria,92,HK,1603995937,83,75.99,22.29,114.16,1.01
153,bontang,100,ID,1603995994,80,77.99,0.13,117.5,3.24
154,ponta do sol,40,PT,1603995994,73,69.8,32.67,-17.1,10.29
155,vao,0,NC,1603995994,84,73.18,-22.67,167.48,15.82
156,chara,85,RU,1603995994,88,15.93,56.91,118.26,0.51
157,port lincoln,84,AU,1603995995,79,56.21,-34.73,135.87,22.15
158,rudnaya pristan,45,RU,1603995995,69,41.5,44.36,135.81,13.89
159,tignere,79,CM,1603995995,60,70.14,7.37,12.65,2.21
160,genhe,83,CN,1603995995,92,22.8,50.78,121.52,2.82
161,deputatskiy,98,RU,1603995996,93,1.22,69.3,139.9,0.96
162,manta,20,EC,1603995960,65,80.6,-0.95,-80.73,17.22
163,svetlyy,0,RU,1603995997,93,48.2,54.67,20.13,6.71
164,siocon,44,PH,1603995997,82,79.52,7.71,122.14,6.85
165,arara,75,BR,1603995998,43,87.8,-6.83,-35.76,14.99
166,broken hill,90,AU,1603995976,81,51.8,-31.95,141.43,12.75
